,position,company,min_rank,mean_rank,kws_rank,job_count
5007,Organizational Change Consultant,Simon Fraser University,2,395.17,"fraser (2), university (55), consultant (74), simon (408), change (727), organizational (1,105)",2
5008,Intermediate Electrical Distribution Engineer,CIMA+,9,395.4,"engineer (9), electrical (137), intermediate (148), distribution (442), cima (1,241)",2
5009,Director of Care,Baptist Housing,15,395.5,"care (15), director (48), housing (248), baptist (1,271)",2
5010,Millwright/Machinist,Fraser Health Authority,0,395.6,"health (0), authority (1), fraser (2), millwright (792), machinist (1,183)",2
5011,Software Test Engineer,Arista Networks,9,395.6,"engineer (9), software (21), test (451), networks (606), arista (891)",2
5012,Application Developer,DataAnnotation,53,395.67,"developer (53), application (439), dataannotation (695)",2
5013,Civil Engineer (Intermediate),Associated Engineering,9,395.8,"engineer (9), engineering (71), intermediate (148), civil (292), associated (1,459)",2
5014,"Electrical Engineer - Electrical, Instrumentation & Controls",AECOM,9,395.8,"engineer (9), electrical (137), controls (353), aecom (653), instrumentation (827)",2
5015,Parks Planning Projects Manager,District of North Vancouver,3,395.86,"manager (3), vancouver (4), district (91), north (117), planning (236), projects (362), parks (1,958)",1
5016,Senior Environmental Assessment and Permitting Practitioner,Stantec,6,395.86,"senior (6), and (13), practitioner (40), environmental (204), stantec (235), assessment (466), permitting (1,807)",2
5017,manufacturing manager,MTU Maintenance Canada,3,396.0,"manager (3), canada (11), maintenance (129), manufacturing (465), mtu (1,372)",2
5018,Red Deer High School Biology Tutor,"Varsity Tutors, a Nerdy Company",19,396.1,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), school (46), high (122), red (502), biology (671), deer (2,501)",1
5019,Senior Archaeologist,WSP in Canada,6,396.5,"senior (6), canada (11), wsp (114), archaeologist (1,455)",4
5020,Senior Budget Analyst,BC Financial Services Authority,1,396.5,"authority (1), senior (6), services (7), analyst (44), financial (67), budget (2,254)",2
5021,Software Developer (Golang),Fortinet,21,396.5,"software (21), developer (53), fortinet (284), golang (1,228)",4
5022,Proposal Analyst,"Connor, Clark & Lunn Financial Group (CC&L)",20,396.57,"group (20), analyst (44), financial (67), clark (525), connor (586), lunn (601), proposal (933)",2
5023,"Applied Scientist, Workforce Intelligence",Amazon,101,396.6,"amazon (101), scientist (224), intelligence (481), applied (577), workforce (600)",2
5024,"Supervisor, Testing and Commissioning",British Columbia Rapid Transit Company,13,396.67,"and (13), company (19), supervisor (29), columbia (66), british (75), transit (410), rapid (530), testing (922), commissioning (1,506)",2
5025,"Senior Manager, VFX Production Finance",Scanline VFX,3,396.67,"manager (3), senior (6), production (185), finance (259), vfx (740), scanline (1,187)",2
5026,Principal Data Architect-R-244315,Mastercard,106,396.75,"data (106), principal (205), architect (223), mastercard (1,053)",1
5027,Account Executive,Sign In Enterprise,93,396.75,"account (93), executive (108), enterprise (261), sign (1,125)",2
5028,Administrative Associate (Vancouver),Nicola Wealth,4,396.8,"vancouver (4), associate (18), administrative (99), wealth (433), nicola (1,430)",2
5029,Student Ambassador - University of Calgary,Banfield Pet Hospital,8,396.86,"hospital (8), university (55), student (120), ambassador (274), pet (337), banfield (611), calgary (1,373)",2
5030,Senior Project Manager- Mining & Metals,Fluor Corporation,3,397.0,"manager (3), senior (6), project (42), corporation (126), mining (456), fluor (644), metals (1,502)",2
5031,Senior Estimator,Pomerleau,6,397.0,"senior (6), estimator (363), pomerleau (822)",2
5032,Regulated Pharmacy Technician - Full Time,London Drugs,28,397.14,"technician (28), time (30), full (51), pharmacy (146), london (187), drugs (194), regulated (2,144)",2
5033,"Software Development Engineer, Route 53",Amazon Web Services (AWS),7,397.25,"services (7), engineer (9), software (21), development (33), amazon (101), web (285), aws (372), route (2,350)",2
5034,Corporate Counsel,Global Relay,131,397.25,"global (131), corporate (297), relay (472), counsel (689)",2
5035,"assistant manager, restaurant",Freshii,3,397.25,"manager (3), assistant (14), restaurant (130), freshii (1,442)",2
5036,restaurant assistant manager,Freshii,3,397.25,"manager (3), assistant (14), restaurant (130), freshii (1,442)",2
5037,Canadian Public Sector Management Consultant - British Columbia,NTT DATA North America,59,397.36,"canadian (59), columbia (66), consultant (74), british (75), management (76), data (106), north (117), public (215), america (243), sector (1,557), ntt (1,783)",2
5038,Remote Earth Science Tutor,"Varsity Tutors, a Nerdy Company",19,397.38,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39), science (253), earth (2,768)",1
5039,"Registered Nurse (RN), Families In Recovery Program (FIR) - BC Womenâs Hospital & Health Centre",BC Women's Hospital and Health Centre,0,397.42,"health (0), nurse (5), hospital (8), registered (10), and (13), centre (43), program (104), women (287), womenâ (299), recovery (693), fir (1,572), families (1,735)",6
5040,Montreal Middle School Math Tutor,"Varsity Tutors, a Nerdy Company",19,397.44,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), school (46), math (370), middle (668), montreal (2,374)",1
5041,Night Manager - JOEY Burrard,JOEY Restaurant Group,3,397.5,"manager (3), group (20), restaurant (130), night (493), joey (516), burrard (1,223)",2
5042,Transmission Line Designer,Stantec,111,397.5,"designer (111), line (166), stantec (235), transmission (1,078)",1
5043,Tenant Improvement Project Manager- 12 Month Contract,Onni Group of Companies,3,397.67,"manager (3), group (20), project (42), contract (121), companies (134), month (214), onni (545), improvement (1,184), tenant (1,316)",2
5044,Sr. Salesforce Project Manager,NeuraFlash,3,397.75,"manager (3), project (42), salesforce (559), neuraflash (987)",2
5045,Nurse Educator - Holy Family Hospital,Providence Health Care,0,397.75,"health (0), nurse (5), hospital (8), care (15), family (36), providence (186), educator (399), holy (2,533)",2
5046,"Director, Performance Marketing (Bangkok Based, relocation provided)",Agoda,48,397.75,"director (48), marketing (103), based (211), relocation (517), agoda (550), provided (551), bangkok (566), performance (636)",2
5047,Director Indigenous Workforce Experience - Strategic Partnerships,Vancouver Coastal Health,0,397.78,"health (0), vancouver (4), coastal (12), director (48), experience (165), indigenous (314), workforce (600), strategic (618), partnerships (1,819)",2
5048,Asset Management Project and Process Specialist (term for a period up to 2 years),Vancouver Fraser Port Authority,1,397.79,"authority (1), fraser (2), vancouver (4), and (13), specialist (24), project (42), management (76), for (170), term (175), process (338), port (380), asset (527), years (1,415), period (2,402)",2
5049,"Applied Scientist, Workforce Intelligence",ITjobs.ca,107,397.8,"itjobs (107), scientist (224), intelligence (481), applied (577), workforce (600)",2
5050,"shift supervisor - Store# 15687, VICTORIA DRIVE & 41ST",Starbucks,29,398.0,"supervisor (29), store (32), starbucks (73), shift (94), victoria (756), drive (1,404)",2
5051,Microsoft Dynamics 365 F&O - Finance Senior Consultant,Deloitte,6,398.17,"senior (6), consultant (74), deloitte (219), finance (259), microsoft (795), dynamics (1,036)",2
5052,Intermediate Teacher - St. Michael's Elementary School,Catholic Independent Schools Vancouver Archdiocese (CISVA),4,398.18,"vancouver (4), school (46), teacher (105), intermediate (148), elementary (191), schools (195), independent (258), archdiocese (294), catholic (304), cisva (306), michael (2,529)",2
5053,Machinist/Millwright,Vancouver Coastal Health,0,398.2,"health (0), vancouver (4), coastal (12), millwright (792), machinist (1,183)",2
5054,Community Relations Coordinator,Senior Helpers Vancouver,4,398.33,"vancouver (4), senior (6), coordinator (31), community (35), relations (430), helpers (1,884)",2
5055,Data Engineer,Benevity,9,398.33,"engineer (9), data (106), benevity (1,080)",2
5056,Server,LOCAL Public Eatery,215,398.5,"public (215), server (247), local (523), eatery (609)",2
5057,Admissions Assistant - Competition ID: 4054,Kwantlen Polytechnic University,14,398.5,"assistant (14), university (55), competition (365), polytechnic (366), kwantlen (367), admissions (1,224)",2
5058,Software Project Manager,Robert Half,3,398.6,"manager (3), software (21), project (42), half (947), robert (980)",2
5059,Dermatology,Health Match BC,0,398.67,"health (0), match (41), dermatology (1,155)",20
5060,"Tax Analyst, Private Trust (Bilingual)",TD,44,398.8,"analyst (44), tax (221), bilingual (383), private (487), trust (859)",2
5061,"Engineering Manager, Developer Experience",Chainlink Labs,3,398.83,"manager (3), developer (53), engineering (71), experience (165), labs (564), chainlink (1,537)",2
5062,Medical Lab Technologist - Mid Low Chemistry,LifeLabs Medical Laboratory Services,7,399.0,"services (7), medical (62), technologist (64), laboratory (179), lab (321), lifelabs (357), mid (617), chemistry (627), low (1,357)",2
5063,Senior Product Development Manager,Goldbeck Recruiting,3,399.0,"manager (3), senior (6), development (33), product (127), recruiting (638), goldbeck (1,587)",2
5064,Security Systems Tech,Ainsworth Inc,17,399.0,"inc (17), security (90), systems (92), tech (283), ainsworth (1,513)",2
5065,Bartender,Gateway Casinos and Entertainment Limited,13,399.0,"and (13), limited (110), entertainment (229), gateway (489), casinos (598), bartender (955)",2
5066,Change Management Consultant,BC College of Nurses and Midwives,13,399.0,"and (13), consultant (74), management (76), college (119), change (727), midwives (856), nurses (928)",2
5067,Retail Associate | Broadway,skoah,18,399.0,"associate (18), retail (70), broadway (602), skoah (906)",2
5068,Union Liaison Officer,Community Savings Credit Union,35,399.0,"community (35), officer (136), liaison (278), union (346), credit (438), savings (1,161)",2
5069,construction helper,Blue Pacific Drywall Ltd.,23,399.17,"ltd (23), construction (72), pacific (251), helper (368), drywall (610), blue (1,071)",2
5070,"shift supervisor - Store# 29965, STATION SQUARE I",Starbucks,29,399.33,"supervisor (29), store (32), starbucks (73), shift (94), square (769), station (1,399)",2
5071,Community Occupational Therapist â Mental Health & Substance Use â All Community and Tertiary Sites (Fraser North communities),Fraser Health Authority,0,399.4,"health (0), authority (1), fraser (2), and (13), community (35), mental (65), therapist (69), use (96), substance (97), north (117), occupational (135), all (936), communities (939), sites (1,341), tertiary (2,145)",2
5072,"Registered Nurse, Labour & Delivery (Birthing) - BC Women's Hospital & Health Centre",BC Women's Hospital and Health Centre,0,399.5,"health (0), nurse (5), hospital (8), registered (10), and (13), centre (43), women (287), delivery (354), labour (661), birthing (2,614)",2
5073,Lead Instructor - Primary Care Paramedic (New Westminster),Justice Institute of British Columbia,15,399.55,"care (15), lead (52), columbia (66), british (75), new (145), primary (216), instructor (289), westminster (378), institute (565), justice (1,031), paramedic (1,563)",2
5074,"Project Manager, Cyber and Information Security (Hybrid)",Prospera Credit Union,3,399.6,"manager (3), and (13), project (42), security (90), hybrid (227), information (335), union (346), credit (438), cyber (871), prospera (1,631)",2
5075,French Immersion Teacher,School District No. 40 New Westminster,46,399.71,"school (46), district (91), teacher (105), new (145), french (339), westminster (378), immersion (1,694)",1
5076,"Senior Planning and Readiness Manager, Global Operations",Electronic Arts (EA),3,399.78,"manager (3), senior (6), and (13), operations (88), global (131), planning (236), arts (296), electronic (300), readiness (2,525)",2
5077,Mechanical Technologist (Junior),Associated Engineering,64,399.8,"technologist (64), engineering (71), mechanical (153), junior (252), associated (1,459)",2
5078,"Supply Chain - Senior Manager/Manager, Workforce Planning",Aritzia,3,399.86,"manager (3), senior (6), planning (236), supply (330), chain (561), workforce (600), aritzia (1,063)",2
5079,Loss Prevention Officer 2,London Drugs,136,400.0,"officer (136), london (187), drugs (194), prevention (665), loss (818)",2
5080,Intermediate/Senior iOS Developer,Global Relay,6,400.0,"senior (6), developer (53), global (131), intermediate (148), relay (472), ios (1,590)",2
5081,"Senior Retirement Actuarial Consultant, Canada Wealth Solutions Practice",Aon,6,400.0,"senior (6), canada (11), consultant (74), solutions (89), practice (141), retirement (384), wealth (433), aon (815), actuarial (1,647)",2
5082,Senior Consultant - People & Culture Organizational Management,TELUS,6,400.0,"senior (6), consultant (74), management (76), telus (234), people (468), culture (837), organizational (1,105)",2
5083,Inside Sales Representative - Remote,Splunk,16,400.0,"sales (16), remote (39), representative (56), inside (347), splunk (1,542)",2
5084,Physiotherapist,Yaletown House Society,161,400.0,"physiotherapist (161), society (164), house (361), yaletown (914)",2
5085,"Manager, Forensics Technology Support",KPMG Canada,3,400.0,"manager (3), canada (11), support (63), technology (109), kpmg (199), forensics (2,015)",1
5086,Customer Success Manager,Sales Talent Agency,3,400.17,"manager (3), sales (16), customer (102), talent (310), success (471), agency (1,499)",2
5087,Organizational Design Consultant,lululemon,74,400.25,"consultant (74), design (154), lululemon (268), organizational (1,105)",2
5088,Cashier,Shoppers Drug Mart,293,400.25,"drug (293), mart (323), shoppers (331), cashier (654)",6
5089,"Quantitative Equity Technology, Infrastructure Software Engineer","Connor, Clark & Lunn Investment Management (CC&L)",9,400.27,"engineer (9), software (21), management (76), technology (109), infrastructure (260), investment (343), clark (525), connor (586), lunn (601), equity (770), quantitative (1,103)",2
5090,Senior Front End Software Engineer,Toast,6,400.33,"senior (6), engineer (9), software (21), front (291), end (506), toast (1,569)",2
5091,Full-Time Sessional Chemistry Faculty Position,Trinity Western University,30,400.56,"time (30), full (51), university (55), western (182), faculty (242), trinity (461), position (514), chemistry (627), sessional (1,443)",1
5092,"Associate Teacher, Senior School (Grade 8 - 12)",Crofton House School,6,400.57,"senior (6), associate (18), school (46), teacher (105), house (361), grade (513), crofton (1,755)",2
5093,Building Manager,FirstService Residential Canada,3,400.6,"manager (3), canada (11), building (184), residential (313), firstservice (1,492)",4
5094,Locum Family Physician â Sina Health Centre (Kitsilano),Vancouver Division of Family Practice,0,400.6,"health (0), vancouver (4), family (36), centre (43), physician (140), practice (141), division (155), locum (340), kitsilano (868), sina (2,279)",2
5095,Commercial & Technology Lawyer,ICBC (Insurance Corporation of British Columbia),66,400.75,"columbia (66), british (75), technology (109), corporation (126), commercial (176), insurance (178), lawyer (960), icbc (1,516)",2
5096,Senior Manager â Canadian Tax,Baker Tilly Canada,3,401.0,"manager (3), senior (6), canada (11), canadian (59), tax (221), baker (733), tilly (1,774)",1
5097,"barista - Store# 00185, CAMBIE & 19TH",Starbucks,32,401.0,"store (32), starbucks (73), barista (150), cambie (1,349)",2
5098,food service supervisor,Freshii,29,401.0,"supervisor (29), service (38), food (95), freshii (1,442)",4
5099,Senior Healthcare Assistant,Active Care Group,6,401.0,"senior (6), assistant (14), care (15), group (20), healthcare (476), active (1,875)",2
5100,Supply Chain Manager,MTU Maintenance Canada,3,401.0,"manager (3), canada (11), maintenance (129), supply (330), chain (561), mtu (1,372)",1
5101,Alberta Calculus Tutor,"Varsity Tutors, a Nerdy Company",19,401.14,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), alberta (1,073), calculus (1,616)",1
5102,Service Technician (Go Kia West),Go Auto,28,401.2,"technician (28), service (38), west (152), auto (193), kia (1,595)",2
5103,Senior Architect,TalentSphere Staffing Solutions,6,401.2,"senior (6), solutions (89), architect (223), staffing (672), talentsphere (1,016)",2
5104,Field Marketing Specialist,MDA Edge,24,401.2,"specialist (24), marketing (103), field (128), mda (687), edge (1,064)",2
5105,Village Training Manager Club Med Resort Canada or overseas,Club Med,3,401.25,"manager (3), canada (11), village (142), training (201), med (319), club (460), resort (1,027), overseas (1,047)",2
5106,Mobile Security - Experience Required,Paladin Security Group Ltd,20,401.29,"group (20), ltd (23), security (90), experience (165), mobile (355), paladin (641), required (1,515)",4
5107,"Insurance Advisor, Commercial Lines",HUB International,77,401.33,"advisor (77), commercial (176), insurance (178), international (257), hub (761), lines (959)",4
5108,Firmware Design Developer,Fortinet,53,401.5,"developer (53), design (154), fortinet (284), firmware (1,115)",4
5109,Associate Professor or Professor (tenure),The University of British Columbia,18,401.57,"associate (18), university (55), the (61), columbia (66), british (75), tenure (1,238), professor (1,298)",2
5110,Anaesthesia Assistant,Providence Health Care,0,401.8,"health (0), assistant (14), care (15), providence (186), anaesthesia (1,794)",2
5111,25-033 Clerk 2 (Auxiliary),City of Maple Ridge,123,401.8,"ridge (123), clerk (143), city (151), maple (288), auxiliary (1,304)",2
5112,"Digital Procurement, Consulting, Director",PwC Canada,11,401.83,"canada (11), director (48), digital (207), consulting (232), procurement (538), pwc (1,375)",1
5113,Full-Time Sessional Biology Faculty Position (Temporary),Trinity Western University,30,402.0,"time (30), full (51), university (55), western (182), faculty (242), temporary (371), trinity (461), position (514), biology (671), sessional (1,443)",2
5114,Manager/Assistant Manager â Canadian Tax,Baker Tilly Canada,3,402.14,"manager (3), canada (11), assistant (14), canadian (59), tax (221), baker (733), tilly (1,774)",2
5115,HVAC Mechanic - Continuing,Maple Ridge - Pitt Meadows School District No.42,46,402.22,"school (46), district (91), ridge (123), mechanic (230), meadows (239), maple (288), hvac (325), continuing (1,018), pitt (1,260)",1
5116,Registered Massage Therapist - Newton,Back in Motion Rehab Inc.,10,402.25,"registered (10), inc (17), therapist (69), motion (492), rehab (498), back (536), massage (590), newton (1,006)",2
5117,Accounting Student,PCL Construction,72,402.25,"construction (72), student (120), accounting (318), pcl (1,099)",2
5118,Medical Device Firmware Developer (Hybrid),Kardium Inc.,17,402.29,"inc (17), developer (53), medical (62), hybrid (227), kardium (358), device (984), firmware (1,115)",2
5119,Pharmacy Technician - St. Paul's Hospital & Mount Saint Joseph Hospital,Fraser Health Authority,0,402.3,"health (0), authority (1), fraser (2), hospital (8), technician (28), pharmacy (146), paul (728), joseph (814), saint (1,096), mount (1,200)",2
5120,Internal Business Development Representative,Comm100,33,402.4,"development (33), business (54), representative (56), internal (281), comm (1,588)",2
5121,Intermediate Environmental Engineer / Scientist,McElhanney,9,402.4,"engineer (9), intermediate (148), environmental (204), scientist (224), mcelhanney (1,427)",2
5122,office administrator,Active Fire & Safety Services Ltd.,7,402.43,"services (7), ltd (23), administrator (139), office (149), safety (183), fire (441), active (1,875)",2
5123,Pediatrician,Fraser Health Authority,0,402.5,"health (0), authority (1), fraser (2), pediatrician (1,607)",2
5124,Global Director of Manufacturing Engineering,Creation Technologies,48,402.5,"director (48), engineering (71), global (131), technologies (138), manufacturing (465), creation (1,562)",2
5125,"Regional Sales Manager, Western Canada (Vancouver)",Axis Communications,3,402.5,"manager (3), vancouver (4), canada (11), sales (16), western (182), communications (213), regional (238), axis (2,553)",2
5126,HVAC Design Engineer,Barrier Marine Services (Canada) Ltd,7,402.75,"services (7), engineer (9), canada (11), ltd (23), design (154), marine (322), hvac (325), barrier (2,371)",2
5127,Cultural Services Program Leader - Visual Arts,City of Delta,7,402.75,"services (7), program (104), city (151), delta (181), leader (206), arts (296), visual (624), cultural (1,653)",2
5128,"Registered Nurse (RN), Spinal Rehab Unit - GF Strong Rehabilitation Centre",Vancouver Coastal Health,0,402.82,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), centre (43), unit (49), rehabilitation (241), rehab (498), strong (1,669), spinal (1,900)",2
5129,Senior Cybersecurity Risk Management Specialist,TransLink,6,402.83,"senior (6), specialist (24), management (76), risk (344), translink (400), cybersecurity (1,567)",2
5130,"Virtual Member Experience Specialist, Member Service Centre (Hybrid)",Prospera Credit Union,24,402.9,"specialist (24), service (38), centre (43), experience (165), hybrid (227), member (265), union (346), credit (438), virtual (852), prospera (1,631)",2
5131,"shift supervisor - Store# 04105, FRASER HWY & 159TH",Starbucks,2,403.0,"fraser (2), supervisor (29), store (32), starbucks (73), shift (94), hwy (2,188)",2
5132,Registered Massage Therapist - Oak,Myo,10,403.0,"registered (10), therapist (69), massage (590), myo (631), oak (715)",2
5133,Software Applications QA,Fortinet,21,403.0,"software (21), fortinet (284), applications (904)",2
5134,"Staff Software Engineer, DevOps/SRE",Rivian and Volkswagen Group Technologies,9,403.1,"engineer (9), and (13), group (20), software (21), technologies (138), staff (190), rivian (432), volkswagen (507), devops (522), sre (2,179)",2
5135,Customer Service Specialist (18 months contract),Natural Factors,24,403.14,"specialist (24), service (38), customer (102), contract (121), months (415), natural (713), factors (1,409)",2
5136,Senior Automotive Service Advisor,Morrey Auto Group,6,403.14,"senior (6), group (20), service (38), advisor (77), auto (193), automotive (360), morrey (2,128)",2
5137,Project Administrator,Ventana Construction Corporation,42,403.2,"project (42), construction (72), corporation (126), administrator (139), ventana (1,637)",2
5138,Security Specialist,E-Comm 9-1-1 | Emergency Communications for British Columbia Incorporated,24,403.33,"specialist (24), columbia (66), british (75), emergency (81), security (90), for (170), communications (213), incorporated (1,323), comm (1,588)",2
5139,Full-Time Sessional Leadership Faculty Position,Trinity Western University,30,403.33,"time (30), full (51), university (55), western (182), faculty (242), trinity (461), position (514), leadership (652), sessional (1,443)",2
5140,Part Time Product Specialist,Skechers,24,403.4,"specialist (24), time (30), part (58), product (127), skechers (1,778)",4
5141,"Controls Test & Integration Engineer, Body Controls",Rivian and Volkswagen Group Technologies,9,403.6,"engineer (9), and (13), group (20), technologies (138), controls (353), rivian (432), test (451), volkswagen (507), body (963), integration (1,150)",2
5142,"Senior Manager, Business Intelligence",Canucks Sports & Entertainment (CSE),3,403.62,"manager (3), senior (6), business (54), entertainment (229), sports (280), intelligence (481), canucks (1,068), cse (1,108)",2
5143,Student Assistant - Software and Hardware Assistance - Competition ID: 4028,Kwantlen Polytechnic University,13,403.7,"and (13), assistant (14), software (21), university (55), student (120), competition (365), polytechnic (366), kwantlen (367), hardware (705), assistance (2,011)",2
5144,"shift supervisor - Store# 04274, LOUGHEED TOWN CENTRE",Starbucks,29,403.71,"supervisor (29), store (32), centre (43), starbucks (73), shift (94), town (1,195), lougheed (1,360)",2
5145,kitchen supervisor,Pizza Garden,29,403.75,"supervisor (29), kitchen (228), garden (656), pizza (702)",2
5146,Junior Finance Manager,Westminster Toyota,3,403.8,"manager (3), junior (252), finance (259), westminster (378), toyota (1,127)",2
5147,"Lead Instructor, Advanced Care Paramedic Program (New Westminster)",Justice Institute of British Columbia,15,403.83,"care (15), lead (52), columbia (66), british (75), program (104), new (145), instructor (289), westminster (378), advanced (563), institute (565), justice (1,031), paramedic (1,563)",2
5148,Pharmacy Assistant - Burnaby - Future opportunities,Cencora,14,403.83,"assistant (14), burnaby (68), pharmacy (146), opportunities (308), future (333), cencora (1,554)",2
5149,store manager - retail,Best Quality Meat Shop,3,403.86,"manager (3), store (32), retail (70), quality (180), shop (649), meat (899), best (994)",2
5150,"Manager, Product Management - Product Discovery and Strategy-R-249046",Mastercard,3,403.86,"manager (3), and (13), management (76), product (127), strategy (509), discovery (1,046), mastercard (1,053)",1
5151,Support Worker,Active Care Group,15,404.0,"care (15), group (20), worker (47), support (63), active (1,875)",2
5152,"Senior Software Developer, DevOps",Hootsuite,6,404.0,"senior (6), software (21), developer (53), devops (522), hootsuite (1,418)",2
5153,"Sr Manager, Financial Planning & Analysis",Visier Inc.,3,404.17,"manager (3), inc (17), financial (67), planning (236), analysis (748), visier (1,354)",2
5154,"Senior Analyst, Customer Success Insights-R-244953",Mastercard,6,404.17,"senior (6), analyst (44), customer (102), success (471), insights (749), mastercard (1,053)",2
5155,Pre-Sales Solutions Specialist II,Safe Software,16,404.17,"sales (16), software (21), specialist (24), solutions (89), safe (774), pre (1,501)",1
5156,SAP iXp Intern - Technical Project Coordinator,SAP,31,404.17,"coordinator (31), project (42), technical (124), intern (334), sap (512), ixp (1,382)",2
5157,Security Systems Technician Apprentice,Ainsworth Inc,17,404.17,"inc (17), technician (28), security (90), systems (92), apprentice (685), ainsworth (1,513)",2
5158,"Lead, Sustainability Compliance",Teck Resources Limited,52,404.17,"lead (52), limited (110), resources (156), compliance (453), teck (637), sustainability (1,017)",2
5159,Network Advanced Services Engineer,Arista Networks,7,404.33,"services (7), engineer (9), network (350), advanced (563), networks (606), arista (891)",2
5160,Student Recruitment Officer,Chartered Professional Accountants of British Columbia,66,404.38,"columbia (66), british (75), student (120), officer (136), recruitment (192), professional (305), accountants (1,144), chartered (1,197)",2
5161,Village Training Supervisor Club Med Resort Canada or overseas,Club Med,11,404.5,"canada (11), supervisor (29), village (142), training (201), med (319), club (460), resort (1,027), overseas (1,047)",2
5162,Strategic Corporate Field: Industry Account Executive - Vancouver,SAP,4,404.5,"vancouver (4), account (93), executive (108), field (128), corporate (297), sap (512), strategic (618), industry (1,476)",2
5163,Business & Revenue Planning Manager - Mobile Games,Electronic Arts (EA),3,404.62,"manager (3), business (54), planning (236), arts (296), electronic (300), mobile (355), games (475), revenue (1,518)",2
5164,Systems Engineer,Cytiva,9,404.67,"engineer (9), systems (92), cytiva (1,113)",4
5165,SAP iXp Intern - Cloud Engineer [Vancouver],SAP,4,404.83,"vancouver (4), engineer (9), cloud (188), intern (334), sap (512), ixp (1,382)",2
5166,administrative officer,Gia Foods Ltd,23,405.0,"ltd (23), administrative (99), officer (136), foods (212), gia (1,555)",2
5167,Architectural Technologist,Stantec,64,405.0,"technologist (64), stantec (235), architectural (916)",2
5168,Research Analyst,Colliers,44,405.0,"analyst (44), research (167), colliers (1,004)",2
5169,Internal Communications and Events Coordinator,Pacific Blue Cross,13,405.0,"and (13), coordinator (31), communications (213), pacific (251), internal (281), events (533), cross (847), blue (1,071)",2
5170,Procurement Specialist,AECOM,24,405.0,"specialist (24), procurement (538), aecom (653)",2
5171,Vancouver Pre-Calculus Tutor,"Varsity Tutors, a Nerdy Company",4,405.0,"vancouver (4), company (19), tutor (22), tutors (25), nerdy (26), varsity (27), pre (1,501), calculus (1,616)",1
5172,"Registered Nurse - CCU, ICU, Cardiac Stepdown, High Acuity - Surrey Memorial Hospital (Biocontainment Unit Only)",Fraser Health Authority,0,405.06,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), surrey (45), unit (49), memorial (57), cardiac (116), high (122), icu (197), acuity (209), stepdown (277), ccu (342), biocontainment (2,694), only (2,752)",2
5173,Locum Family Physician â Sina Health Centre (Yaletown),Vancouver Division of Family Practice,0,405.2,"health (0), vancouver (4), family (36), centre (43), physician (140), practice (141), division (155), locum (340), yaletown (914), sina (2,279)",2
5174,Lethbridge Elementary School Math Tutor,"Varsity Tutors, a Nerdy Company",19,405.22,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), school (46), elementary (191), math (370), lethbridge (2,921)",1
5175,administrative secretary,Canadian College,59,405.25,"canadian (59), administrative (99), college (119), secretary (1,344)",2
5176,"HR Associate, Compensation & Labour Relations",City of Vancouver,4,405.33,"vancouver (4), associate (18), city (151), relations (430), labour (661), compensation (1,168)",2
5177,AI Designer,Epic Games,111,405.33,"designer (111), games (475), epic (630)",2
5178,Accountant,Hall,189,405.5,"accountant (189), hall (622)",2
5179,administrative assistant - office,Sunny Immigration Consulting,14,405.5,"assistant (14), administrative (99), office (149), consulting (232), immigration (841), sunny (1,098)",2
5180,Organizational Design Specialist,ICBC (Insurance Corporation of British Columbia),24,405.5,"specialist (24), columbia (66), british (75), corporation (126), design (154), insurance (178), organizational (1,105), icbc (1,516)",2
5181,Senior Administrative Assistant - Human Resources,PDF Solutions,6,405.57,"senior (6), assistant (14), solutions (89), administrative (99), resources (156), human (273), pdf (2,202)",2
5182,"Sales Development Representative, New Grad position",Lafarge Canada,11,405.62,"canada (11), sales (16), development (33), representative (56), new (145), position (514), grad (1,076), lafarge (1,394)",2
5183,Senior Software Developer,Cymax Group Technologies,6,405.67,"senior (6), group (20), software (21), developer (53), technologies (138), cymax (2,196)",2
5184,Senior Sales Manager,Quandri,3,405.75,"manager (3), senior (6), sales (16), quandri (1,598)",2
5185,Pediatrician,Vancouver Coastal Health,0,405.75,"health (0), vancouver (4), coastal (12), pediatrician (1,607)",4
5186,Structural Project Supervisor,Associated Engineering,29,405.8,"supervisor (29), project (42), engineering (71), structural (428), associated (1,459)",2
5187,Primary / Intermediate Teacher - Holy Trinity School,Catholic Independent Schools Vancouver Archdiocese (CISVA),4,405.83,"vancouver (4), school (46), teacher (105), intermediate (148), schools (195), primary (216), independent (258), archdiocese (294), catholic (304), cisva (306), trinity (461), holy (2,533)",1
5188,Junior and High School French Tutor,Prep Academy Tutors Hamilton,13,405.9,"and (13), tutor (22), tutors (25), school (46), high (122), junior (252), french (339), academy (412), prep (1,268), hamilton (1,560)",2
5189,Senior Software QA Engineer,Comm100,6,406.0,"senior (6), engineer (9), software (21), comm (1,588)",2
5190,Service Writer,Brandt Group of Companies,20,406.0,"group (20), service (38), companies (134), brandt (763), writer (1,075)",2
